time,Gqw,Gqx,Gqy,Gqz,Lqw,Lqx,Lqy,Lqz,rx,ry,rz,lx,ly,lz,ax,ay,az,mx,my,mz,gx,gy,gz,temp
7.34734,-0.588558,-0.450714,0.521819,0.422092,-0.588558,-0.450714,0.521819,0.422092,1.52025,-0.235939,-1.468709,-0.050045,0.00585,0.02171,-0.972775,0.258537,-0.03971,-38.003838,9.655843,-33.622791,17.563332,35.981678,39.965336,33.465054
7.35735,-0.589317,-0.450155,0.523792,0.419176,-0.589317,-0.450155,0.523792,0.419176,1.523387,-0.242336,-1.46774,-0.230694,0.037814,0.003072,-1.024446,0.250298,0.13472,-37.620571,10.163728,-34.176311,18.676376,3.703417,36.556641,33.440052
7.36736,-0.590061,-0.449127,0.525121,0.417567,-0.590061,-0.449127,0.525121,0.417567,1.524301,-0.247134,-1.467715,-0.263492,-0.011654,-0.03901,-0.989063,0.201618,0.169948,-37.620571,10.163728,-34.176311,9.215507,-1.096583,29.808815,33.440052
7.37737,-0.591658,-0.448238,0.525993,0.415156,-0.591658,-0.448238,0.525993,0.415156,1.524478,-0.252926,-1.465297,-0.123937,-0.037113,-0.022179,-0.945255,0.220154,0.03208,-37.237305,10.417669,-33.701866,6.641593,7.87733,35.374031,33.427551
7.38738,-0.59233,-0.447238,0.527883,0.412872,-0.59233,-0.447238,0.527883,0.412872,1.526676,-0.258942,-1.465338,-0.221664,-0.010601,-0.010454,-0.976332,0.242435,0.127103,-37.237305,10.417669,-33.701866,13.041593,-1.653105,35.026207,33.452553
7.39739,-0.593021,-0.446081,0.529093,0.41158,-0.593021,-0.446081,0.529093,0.41158,1.527133,-0.263365,-1.46566,-0.213988,-0.033809,-0.039423,-0.95967,0.212852,0.120819,-37.083996,11.09485,-33.860012,9.354636,-4.78354,28.834902,33.427551
7.4074,-0.593856,-0.44465,0.530722,0.409824,-0.593856,-0.44465,0.530722,0.409824,1.528002,-0.269125,-1.466086,-0.230937,-0.033978,-0.016735,-0.953867,0.240001,0.139099,-37.083996,11.09485,-33.860012,7.40681,-3.879192,34.26099,33.452553
7.41741,-0.594745,-0.443111,0.532605,0.407754,-0.594745,-0.443111,0.532605,0.407754,1.529247,-0.275645,-1.466542,-0.236746,-0.04376,-0.008388,-0.941136,0.251609,0.146526,-37.467262,11.264144,-33.939087,7.545941,-3.392236,37.669685,33.452553
7.42742,-0.595825,-0.441415,0.534387,0.405679,-0.595825,-0.441415,0.534387,0.405679,1.530003,-0.282396,-1.466787,-0.246339,-0.068147,-0.025782,-0.921853,0.234384,0.157951,-37.467262,11.264144,-33.939087,6.293767,-2.487888,39.965336,33.452553
7.43743,-0.597244,-0.439479,0.535944,0.403636,-0.597244,-0.439479,0.535944,0.403636,1.529835,-0.289423,-1.466597,-0.490646,-0.126361,-0.109961,-0.913054,0.140768,0.403219,-36.930691,11.856677,-34.018162,6.224202,0.712112,43.582729,33.440052
7.44744,-0.601118,-0.437714,0.535697,0.400114,-0.601118,-0.437714,0.535697,0.400114,1.525933,-0.298162,-1.459808,-0.320058,-0.040625,-0.112048,-0.978204,0.17372,0.21984,-36.930691,11.856677,-34.018162,0.241593,33.755592,57.774033,33.427551
7.45745,-0.605455,-0.435518,0.536297,0.395137,-0.605455,-0.435518,0.536297,0.395137,1.523084,-0.310179,-1.452379,0.136557,-0.090786,0.064571,-0.82469,0.343353,-0.226898,-36.854038,12.279914,-34.176311,-12.836668,32.712112,66.260986,33.427551
7.46746,-0.607357,-0.433495,0.538552,0.391359,-0.607357,-0.433495,0.538552,0.391359,1.524328,-0.320333,-1.45082,-0.332232,-0.046429,-0.077194,-0.960606,0.227082,0.226505,-36.854038,12.279914,-34.176311,16.589418,6.486025,62.643597,33.440052
7.47747,-0.610888,-0.43121,0.538802,0.388029,-0.610888,-0.43121,0.538802,0.388029,1.520572,-0.329586,-1.445489,-0.452476,-0.086858,-0.23105,-0.985506,0.075985,0.339046,-36.317463,13.211036,-34.413532,-2.958407,25.268635,59.234901,33.427551
7.48748,-0.616751,-0.427903,0.53854,0.382743,-0.616751,-0.427903,0.53854,0.382743,1.513684,-0.343449,-1.435545,0.051763,-0.182529,0.004323,-0.754673,0.283251,-0.145587,-36.317463,13.211036,-34.413532,-22.645363,47.320808,81.495773,33.452553
7.49749,-0.62039,-0.425991,0.541505,0.374727,-0.62039,-0.425991,0.541505,0.374727,1.516687,-0.360378,-1.428502,-0.264568,0.029107,0.028849,-0.978204,0.392595,0.137386,-35.780891,14.3961,-34.255383,28.485071,34.312111,96.939247,33.465054
