time,Gqw,Gqx,Gqy,Gqz,Lqw,Lqx,Lqy,Lqz,rx,ry,rz,lx,ly,lz,ax,ay,az,mx,my,mz,gx,gy,gz,temp
0.4004,0.003749,0.099758,-0.994986,-0.006143,0.003749,0.099758,-0.994986,-0.006143,-3.154566,-0.006235,-2.941699,0.025738,0.007198,-0.014972,0.054272,0.993984,0.025035,-38.157143,31.664183,1.011635,-3.134774,5.619128,4.445403,32.877537
0.41041,0.004304,0.099294,-0.995028,-0.00644,0.004304,0.099294,-0.995028,-0.00644,-3.155264,-0.007287,-2.942621,0.005941,0.013933,-0.005353,0.072993,1.005031,0.016656,-38.310448,31.240946,1.248857,-3.273904,7.219128,5.558446,32.865036
0.42042,0.004613,0.098731,-0.995082,-0.006537,0.004613,0.098731,-0.995082,-0.006537,-3.155514,-0.007889,-2.943747,-0.013199,0.016412,0.004549,0.092838,1.011958,0.007135,-38.310448,31.240946,1.248857,-2.578252,7.358259,5.697577,32.852535
0.43043,0.004953,0.098028,-0.99515,-0.006477,0.004953,0.098028,-0.99515,-0.006477,-3.155456,-0.008587,-2.945155,-0.031981,0.01519,0.011606,0.113993,1.015141,-0.000102,-38.08049,31.748829,0.695339,-1.465209,6.384346,5.558446,32.852535
0.44044,0.00506,0.097438,-0.995208,-0.0064,0.00506,0.097438,-0.995208,-0.0064,-3.155318,-0.008825,-2.946341,-0.038685,0.020832,0.012939,0.121856,1.022818,-0.001815,-38.08049,31.748829,0.695339,-1.326078,4.366954,4.028011,32.852535
0.45045,0.005035,0.097116,-0.99524,-0.006331,0.005035,0.097116,-0.99524,-0.006331,-3.155174,-0.008791,-2.946988,-0.039313,0.0168,0.00794,0.125038,1.019635,0.002755,-37.927181,31.494886,0.774413,-0.560861,2.279998,0.967142,32.852535
0.46046,0.005068,0.097049,-0.995247,-0.006311,0.005068,0.097049,-0.995247,-0.006311,-3.155138,-0.008864,-2.947123,-0.028893,0.004553,-0.001798,0.118111,1.00578,0.012276,-37.927181,31.494886,0.774413,0.552183,0.471302,-1.606771,32.852535
0.47047,0.005072,0.09713,-0.995239,-0.006309,0.005072,0.09713,-0.995239,-0.006309,-3.155137,-0.00887,-2.946959,-0.022182,-0.001947,-0.008536,0.113244,0.998103,0.019131,-37.927181,31.41024,1.011635,1.3174,-0.154785,-2.998076,32.865036
0.48048,0.005094,0.09736,-0.995216,-0.006406,0.005094,0.09736,-0.995216,-0.006406,-3.155337,-0.008892,-2.946496,-0.023994,0.011092,-0.007543,0.112682,1.011771,0.018751,-37.927181,31.41024,1.011635,0.065226,0.123476,-4.598076,32.865036
0.49049,0.005035,0.097757,-0.995177,-0.006454,0.005035,0.097757,-0.995177,-0.006454,-3.155425,-0.00876,-2.945699,-0.028163,0.000571,-0.002518,0.11886,1.002597,0.013799,-38.08049,31.579535,1.011635,-0.143469,0.471302,-7.032858,32.852535
0.5005,0.004877,0.098228,-0.995131,-0.006423,0.004877,0.098228,-0.995131,-0.006423,-3.155336,-0.008446,-2.944755,-0.020548,-0.010464,-0.001302,0.113244,0.990239,0.012276,-38.08049,31.579535,1.011635,0.621748,-0.22435,-7.72851,32.852535
0.51051,0.004855,0.098646,-0.99509,-0.006446,0.004855,0.098646,-0.99509,-0.006446,-3.155381,-0.00839,-2.943914,-0.0171,0.00183,-0.00168,0.107066,1.001848,0.012847,-38.003838,31.748829,0.695339,0.343487,-0.920002,-7.032858,32.865036
0.52052,0.004867,0.099198,-0.995034,-0.006549,0.004867,0.099198,-0.995034,-0.006549,-3.155593,-0.008386,-2.942805,-0.00827,-0.003865,-0.004008,0.098641,0.994546,0.015323,-38.003838,31.748829,0.695339,-0.143469,-1.267828,-8.215467,32.852535
0.53053,0.004807,0.099891,-0.994964,-0.006679,0.004807,0.099891,-0.994964,-0.006679,-3.155844,-0.00823,-2.941411,0.005544,-0.01819,-0.009395,0.086472,0.97732,0.020845,-38.310448,31.240946,1.011635,0.273922,-1.615654,-8.632858,32.840034
0.54054,0.004858,0.100518,-0.994899,-0.006943,0.004858,0.100518,-0.994899,-0.006943,-3.156385,-0.00827,-2.940149,0.014688,-0.011946,-0.014436,0.074678,0.981252,0.026748,-38.310448,31.240946,1.011635,-0.352165,-2.033046,-7.311119,32.865036
0.55055,0.005238,0.101137,-0.994831,-0.007381,0.005238,0.101137,-0.994831,-0.007381,-3.157339,-0.008929,-2.938894,0.019402,-0.001805,-0.020863,0.066253,0.990052,0.034746,-38.157143,31.156298,0.853487,-1.186948,-1.406959,-6.893728,32.852535
0.56056,0.005411,0.101772,-0.994764,-0.007628,0.005411,0.101772,-0.994764,-0.007628,-3.157873,-0.009214,-2.937612,0.01124,0.001822,-0.01003,0.072057,0.995482,0.024844,-38.157143,31.156298,0.853487,-0.769556,-0.711307,-7.519815,32.877537
0.57057,0.005407,0.102403,-0.994698,-0.007728,0.005407,0.102403,-0.994698,-0.007728,-3.158075,-0.009174,-2.936343,0.004646,-0.005888,-0.003878,0.078797,0.989303,0.018941,-38.310448,31.240946,0.853487,-0.004339,-0.989568,-8.006771,32.840034
0.58058,0.005424,0.103166,-0.994619,-0.007781,0.005424,0.103166,-0.994619,-0.007781,-3.158191,-0.009184,-2.934808,0.020864,-0.03674,-0.010664,0.067377,0.954852,0.025415,-38.310448,31.240946,0.853487,1.108705,-1.754785,-9.05025,32.865036
0.59059,0.005733,0.103844,-0.994545,-0.008044,0.005733,0.103844,-0.994545,-0.008044,-3.158785,-0.009733,-2.933436,0.034015,-0.021159,-0.020608,0.049217,0.966648,0.03646,-38.617062,31.325592,0.774413,0.134792,-1.406959,-7.241554,32.865036
0.6006,0.006264,0.104403,-0.994479,-0.008472,0.006264,0.104403,-0.994479,-0.008472,-3.159754,-0.010689,-2.932297,0.033492,-0.000335,-0.016101,0.043601,0.987056,0.033604,-38.617062,31.325592,0.774413,-1.743469,0.610433,-5.432858,32.852535
0.61061,0.006534,0.104924,-0.994421,-0.00869,0.006534,0.104924,-0.994421,-0.00869,-3.16025,-0.011171,-2.931241,0.027409,-0.005052,-0.006503,0.04903,0.983686,0.024654,-38.387104,31.07165,1.011635,-1.186948,2.001737,-5.363293,32.865036
0.62062,0.006544,0.1052,-0.994392,-0.008604,0.006544,0.1052,-0.994392,-0.008604,-3.160084,-0.011205,-2.930686,0.021923,-0.003233,0.004386,0.053149,0.986682,0.013609,-38.387104,31.07165,1.011635,0.413052,2.419128,-2.858945,32.852535
0.63063,0.006126,0.105316,-0.994386,-0.00817,0.006126,0.105316,-0.994386,-0.00817,-3.159132,-0.010462,-2.930467,0.01546,-0.008673,0.01845,0.060263,0.98275,-0.001815,-38.463757,31.07165,1.090709,1.943487,2.419128,-1.398076,32.852535
0.64064,0.00535,0.105482,-0.994378,-0.007522,0.00535,0.105482,-0.994378,-0.007522,-3.157682,-0.009054,-2.930154,0.008419,-0.01316,0.030054,0.067751,0.979754,-0.015526,-38.463757,31.07165,1.090709,2.430444,1.932172,-2.441554,32.852535
0.65065,0.004345,0.105666,-0.994369,-0.006856,0.004345,0.105666,-0.994369,-0.006856,-3.156146,-0.007193,-2.929806,0.002177,-0.009025,0.034509,0.072619,0.984997,-0.022191,-38.08049,31.240946,1.169783,1.873922,1.097389,-3.415467,32.865036
0.66066,0.003299,0.105844,-0.994358,-0.006196,0.003299,0.105844,-0.994358,-0.006196,-3.154614,-0.00525,-2.929468,-0.000557,-0.009596,0.032797,0.075052,0.98481,-0.022762,-38.08049,31.240946,1.169783,2.082618,0.193041,-3.554598,32.852535
0.67067,0.00262,0.106077,-0.994338,-0.005687,0.00262,0.106077,-0.994338,-0.005687,-3.153458,-0.004003,-2.92901,0.008398,-0.022021,0.021432,0.068313,0.970205,-0.013241,-38.77037,31.240946,0.853487,2.430444,-0.850437,-3.415467,32.852535
0.68068,0.002423,0.106347,-0.994311,-0.005521,0.002423,0.106347,-0.994311,-0.005521,-3.153087,-0.003645,-2.928471,0.020705,-0.034174,0.004749,0.058016,0.954852,0.002755,-38.77037,31.240946,0.853487,1.526096,-0.920002,-3.276337,32.852535
0.69069,0.00238,0.10658,-0.994286,-0.005509,0.00238,0.10658,-0.994286,-0.005509,-3.153055,-0.003559,-2.928004,0.009439,0.000038,0.016447,0.061199,0.990801,-0.008861,-38.387104,30.987003,0.853487,-2.856513,4.158258,-3.067641,32.852535
0.7007,0.001505,0.106456,-0.994301,-0.005554,0.001505,0.106456,-0.994301,-0.005554,-3.152958,-0.00181,-2.928264,0.014337,0.017659,0.020421,0.052587,1.007277,-0.013241,-38.387104,30.987003,0.853487,-3.273904,-4.328698,1.523663,32.852535
0.71071,0.001381,0.106891,-0.994256,-0.005187,0.001381,0.106891,-0.994256,-0.005187,-3.152203,-0.001637,-2.927389,0.019169,-0.035216,0.018571,0.058016,0.953916,-0.013051,-38.233795,30.902355,0.853487,1.526096,3.045215,-5.293728,32.840034
0.72072,0.001086,0.107107,-0.994232,-0.005396,0.001086,0.107107,-0.994232,-0.005396,-3.152556,-0.001003,-2.926958,0.026278,0.019077,0.008042,0.038546,1.005592,-0.001815,-38.233795,30.902355,0.853487,-3.552165,-1.267828,-1.676337,32.877537
0.73073,0.000837,0.106904,-0.994255,-0.005219,0.000837,0.106904,-0.994255,-0.005219,-3.15215,-0.000548,-2.92737,0.014257,0.012396,0.016064,0.051838,1.001848,-0.010575,-38.540409,30.902355,0.932561,-0.908687,2.210433,2.567142,32.852535
0.74074,0.000523,0.106937,-0.994253,-0.005018,0.000523,0.106937,-0.994253,-0.005018,-3.151683,0.000033,-2.927307,0.0122,0.021063,0.012214,0.051651,1.011022,-0.007338,-38.540409,30.902355,0.932561,0.134792,0.540867,-0.076337,32.865036
0.75075,0.000099,0.106678,-0.994283,-0.004616,0.000099,0.106678,-0.994283,-0.004616,-3.150793,0.000788,-2.927831,0.000267,0.01116,0.019444,0.065879,1.004094,-0.015907,-38.540409,31.325592,0.932561,1.108705,1.445215,2.01062,32.852535
0.76076,-0.000294,0.106935,-0.994257,-0.004249,-0.000294,0.106935,-0.994257,-0.004249,-3.149979,0.001493,-2.927317,-0.000437,0.017793,0.017775,0.064569,1.011022,-0.015336,-38.540409,31.325592,0.932561,0.969574,1.37565,-3.763293,32.840034
0.77077,-0.000491,0.106699,-0.994283,-0.003924,-0.000491,0.106699,-0.994283,-0.003924,-3.149291,0.001815,-2.927793,-0.016265,0.043145,0.017735,0.07524,1.039856,-0.016097,-38.693714,31.156298,0.774413,1.804357,0.819128,2.01062,32.852535
0.78078,-0.001202,0.106234,-0.994336,-0.003014,-0.001202,0.106234,-0.994336,-0.003014,-3.147331,0.00303,-2.928731,-0.021126,0.016328,0.027555,0.086847,1.014954,-0.028665,-38.693714,31.156298,0.774413,5.700009,0.262606,3.541055,32.865036
0.79079,-0.001771,0.105977,-0.994364,-0.002213,-0.001771,0.105977,-0.994364,-0.002213,-3.145618,0.003992,-2.929246,-0.011093,-0.008092,0.016622,0.082915,0.988741,-0.019906,-38.310448,30.987003,0.774413,6.1174,-0.711307,1.175837,32.852535
0.8008,-0.002066,0.105835,-0.99438,-0.001916,-0.002066,0.105835,-0.99438,-0.001916,-3.144966,0.004514,-2.929532,-0.010863,0.030025,0.006099,0.075052,1.026375,-0.010004,-38.310448,30.987003,0.774413,2.221748,-1.128698,0.54975,32.865036
0.81081,-0.002258,0.105756,-0.994388,-0.001813,-0.002258,0.105756,-0.994388,-0.001813,-3.144721,0.004874,-2.929691,-0.010071,0.032755,0.001434,0.073929,1.029371,-0.005624,-38.693714,31.325592,1.090709,0.691313,-0.293915,0.201924,32.852535
0.82082,-0.002296,0.105718,-0.994392,-0.001723,-0.002296,0.105718,-0.994392,-0.001723,-3.144533,0.004931,-2.929767,-0.009755,0.031208,-0.008165,0.074116,1.028247,0.003897,-38.693714,31.325592,1.090709,1.595661,-0.293915,-0.285032,32.852535
0.83083,-0.002167,0.105552,-0.99441,-0.001609,-0.002167,0.105552,-0.99441,-0.001609,-3.144335,0.00465,-2.9301,-0.013981,0.029835,-0.007123,0.078984,1.028247,0.002755,-38.157143,31.240946,0.695339,2.221748,-0.502611,0.271489,32.865036
0.84084,-0.001972,0.105517,-0.994414,-0.0015,-0.001972,0.105517,-0.994414,-0.0015,-3.14416,0.004238,-2.930169,-0.012804,0.006789,-0.009679,0.082915,1.005592,0.00523,-38.157143,31.240946,0.695339,2.569574,-0.363481,-1.537206,32.852535
0.85085,-0.001792,0.105582,-0.994408,-0.001452,-0.001792,0.105582,-0.994408,-0.001452,-3.144101,0.00387,-2.930039,-0.014659,0.013794,-0.009365,0.08329,1.013082,0.00504,-38.463757,30.902355,0.695339,1.873922,-0.502611,-2.093728,32.865036
0.86086,-0.001629,0.105622,-0.994404,-0.001423,-0.001629,0.105622,-0.994404,-0.001423,-3.144078,0.00354,-2.929957,-0.01289,0.005055,-0.009251,0.083477,1.004282,0.00504,-38.463757,30.902355,0.695339,1.665226,-0.641741,-1.885032,32.852535
0.87087,-0.001424,0.1058,-0.994386,-0.00134,-0.001424,0.1058,-0.994386,-0.00134,-3.143956,0.003116,-2.9296,-0.01152,-0.00045,-0.011286,0.083103,0.998665,0.007135,-38.540409,30.817707,0.616265,2.708704,-1.059133,-3.345902,32.877537
0.88088,-0.001212,0.106099,-0.994354,-0.001308,-0.001212,0.106099,-0.994354,-0.001308,-3.143937,0.002688,-2.928998,-0.001725,-0.012013,-0.012441,0.075427,0.985184,0.008468,-38.540409,30.817707,0.616265,2.360878,-1.267828,-4.38938,32.852535
0.89089,-0.001133,0.106444,-0.994317,-0.001176,-0.001133,0.106444,-0.994317,-0.001176,-3.143689,0.002504,-2.928302,-0.000813,-0.027025,-0.010469,0.077112,0.970018,0.006373,-38.540409,31.240946,0.774413,3.056531,-1.059133,-5.571989,32.877537
0.9009,-0.001053,0.106654,-0.994295,-0.001108,-0.001053,0.106654,-0.994295,-0.001108,-3.143572,0.002331,-2.92788,-0.004708,-0.020177,-0.008728,0.079171,0.97732,0.004659,-38.540409,31.240946,0.774413,2.013052,-0.641741,-4.180685,32.865036
0.91091,-0.000966,0.106873,-0.994272,-0.00115,-0.000966,0.106873,-0.994272,-0.00115,-3.143674,0.002166,-2.927439,0.001193,-0.031337,-0.011902,0.075427,0.964776,0.008087,-38.463757,30.902355,0.853487,1.3174,-1.059133,-3.902424,32.865036
0.92092,-0.00083,0.107121,-0.994245,-0.00124,-0.00083,0.107121,-0.994245,-0.00124,-3.14388,0.001916,-2.926941,0.014201,-0.055532,-0.01966,0.067377,0.937627,0.016275,-38.463757,30.902355,0.853487,0.900009,-1.059133,-3.485032,32.852535
0.93093,-0.000549,0.107413,-0.994213,-0.001528,-0.000549,0.107413,-0.994213,-0.001528,-3.144513,0.00142,-2.926353,0.019141,-0.048802,-0.021584,0.06045,0.942495,0.019131,-38.540409,30.817707,0.774413,-1.047817,-0.502611,-3.693728,32.852535
0.94094,-0.000126,0.107658,-0.994186,-0.002023,-0.000126,0.107658,-0.994186,-0.002023,-3.145587,0.000686,-2.92586,0.006494,-0.02748,-0.012284,0.067751,0.965712,0.011134,-38.540409,30.817707,0.774413,-3.760861,1.236519,-3.763293,32.852535
0.95095,0.000009,0.107856,-0.994164,-0.002227,0.000009,0.107856,-0.994164,-0.002227,-3.146023,0.000462,-2.92546,0.000807,-0.037892,-0.003282,0.07524,0.95635,0.002564,-38.463757,30.987003,0.695339,-2.02173,0.610433,-3.485032,32.865036
0.96096,0.000035,0.108019,-0.994146,-0.002343,0.000035,0.108019,-0.994146,-0.002343,-3.146259,0.000436,-2.925133,0.00689,-0.051075,-0.000826,0.07187,0.941559,0.000279,-38.463757,30.987003,0.695339,-1.256513,-0.015654,-2.858945,32.865036
0.97097,0.000146,0.108166,-0.994129,-0.002602,0.000146,0.108166,-0.994129,-0.002602,-3.146798,0.000272,-2.924837,0.011315,-0.038665,-0.004009,0.064569,0.952231,0.004088,-38.77037,30.648413,0.616265,-2.439121,-0.22435,-2.093728,32.852535
0.98098,0.000317,0.108328,-0.994111,-0.002936,0.000317,0.108328,-0.994111,-0.002936,-3.1475,0.000006,-2.92451,0.021538,-0.034222,-0.004402,0.053149,0.953916,0.00523,-38.77037,30.648413,0.616265,-3.273904,0.193041,-1.815467,32.852535
0.99099,0.000393,0.108395,-0.994103,-0.003209,0.000393,0.108395,-0.994103,-0.003209,-3.148059,-0.000086,-2.924374,0.021597,-0.026396,0.001498,0.051089,0.961218,-0.000102,-38.693714,30.902355,0.695339,-3.343469,0.610433,-0.841554,32.852535
