time,Gqw,Gqx,Gqy,Gqz,Lqw,Lqx,Lqy,Lqz,rx,ry,rz,lx,ly,lz,ax,ay,az,mx,my,mz,gx,gy,gz,temp
0.35035,0.203025,0.527753,-0.811884,-0.145268,0.203025,0.527753,-0.811884,-0.145268,2.666588,-0.177261,-1.945778,-0.14552,-0.241598,0.121606,-0.010316,1.001848,0.000089,-60.003326,19.982832,-25.003721,0.136466,-0.001823,-0.100574,32.277519
0.36036,0.202041,0.538489,-0.804602,-0.147734,0.202041,0.538489,-0.804602,-0.147734,2.661641,-0.166791,-1.921098,-0.147432,-0.254107,0.121031,-0.010316,1.001473,0.000089,-60.003326,19.982832,-25.003721,-0.079443,-0.001823,-0.027665,32.29002
0.37037,0.199606,0.551473,-0.795801,-0.150787,0.199606,0.551473,-0.795801,-0.150787,2.65738,-0.151967,-1.892,-0.152466,-0.271946,0.120243,-0.010129,1.002035,0.000851,-59.773369,19.813538,-24.845573,-0.01617,-0.001823,-0.024749,32.29002
0.38038,0.197592,0.56323,-0.787477,-0.153653,0.197592,0.56323,-0.787477,-0.153653,2.653353,-0.138558,-1.865273,-0.155194,-0.286851,0.119861,-0.010691,1.002597,0.000851,-59.773369,19.813538,-24.845573,-0.014497,0.137307,-0.084555,32.29002
0.39039,0.196194,0.57462,-0.779107,-0.15592,0.196194,0.57462,-0.779107,-0.15592,2.649779,-0.126864,-1.838758,-0.156787,-0.30197,0.118897,-0.010504,1.002409,0.000851,-59.926674,19.982832,-25.161869,0.056546,0.067742,-0.215069,32.29002
0.4004,0.196837,0.58612,-0.769835,-0.158345,0.196837,0.58612,-0.769835,-0.158345,2.643391,-0.117718,-1.810153,-0.156704,-0.31728,0.12032,-0.010878,1.002409,0.000851,-59.926674,19.982832,-25.161869,-0.081274,-0.001823,-0.221429,32.29002
0.41041,0.196708,0.595364,-0.762103,-0.161389,0.196708,0.595364,-0.762103,-0.161389,2.637489,-0.107863,-1.787431,-0.156076,-0.328619,0.122145,-0.010504,1.00372,0.000851,-59.62006,19.728889,-25.082796,0.059023,0.067742,-0.08796,32.277519
0.42042,0.19513,0.60455,-0.754528,-0.164717,0.19513,0.60455,-0.754528,-0.164717,2.633268,-0.095447,-1.765799,-0.153813,-0.339777,0.120764,-0.01144,1.002409,0.001612,-59.62006,19.728889,-25.082796,0.073809,-0.001823,-0.02345,32.29002
0.43043,0.190324,0.614444,-0.746902,-0.168444,0.190324,0.614444,-0.746902,-0.168444,2.632978,-0.077385,-1.74466,-0.1554,-0.353478,0.118009,-0.011627,1.003533,0.001993,-59.543407,20.06748,-25.003721,0.087044,0.137307,-0.09754,32.277519
0.44044,0.184353,0.624358,-0.73964,-0.170653,0.184353,0.624358,-0.73964,-0.170653,2.636934,-0.059649,-1.724048,-0.154075,-0.367445,0.10977,-0.011814,0.999788,0.001993,-59.543407,20.06748,-25.003721,0.098913,0.206872,-0.03882,32.29002
0.45045,0.180231,0.633281,-0.732487,-0.173014,0.180231,0.633281,-0.732487,-0.173014,2.638404,-0.044916,-1.704269,-0.154298,-0.379824,0.105098,-0.010878,0.999788,0.002564,-59.926674,20.236774,-25.082796,0.109575,0.067742,-0.048562,32.29002
0.46046,0.180684,0.640479,-0.725021,-0.177441,0.180684,0.640479,-0.725021,-0.177441,2.630605,-0.034712,-1.685397,-0.150362,-0.388587,0.109956,-0.010878,1.00166,0.002184,-59.926674,20.236774,-25.082796,0.28522,0.067742,-0.342317,32.302517
